,open,high,low,close,volume,sma_20,ema_20,sma_50,ema_50,sma_200,ema_200,rsi_14,ATR_14,hour,dist_to_prev_day_high_atr,dist_to_prev_day_low_atr,dist_to_prev_week_high_atr,dist_to_prev_week_low_atr,swept_prev_day_high,swept_prev_day_low,swept_prev_week_high,swept_prev_week_low,rel_pos_in_day_range
2021-01-09 07:00:00,1.1984452842724973,1.1986266748503314,1.1978056200057074,1.1984843886317205,4695.910725463762,1.199162541138287,1.198691193787988,1.197710104415395,1.1980063315165221,1.1970570806779497,1.1974678212758791,39.47079106154475,0.0011786675364275595,7,0.0,0.0,0.0,0.0,False,False,False,False,0.20274465869548083
2021-01-09 08:00:00,1.1984843886317205,1.1991928668848573,1.1975071755835256,1.1979229034828052,1406.4486068048527,1.199068322098039,1.1986180232827326,1.1977620527857797,1.1980030598289255,1.1970466951953638,1.1974723494570427,28.98828783766443,0.0012166872267331344,8,0.0,0.0,0.0,0.0,False,False,False,False,0.10427590211302885
2021-01-09 09:00:00,1.1979229034828052,1.1981797233672022,1.1973283050288561,1.1981117971629793,1882.5633590270536,1.1989674060581055,1.1985698112713274,1.1978150741012645,1.1980073240381042,1.197035962395796,1.1974787121207835,28.01210075077161,0.0011900997836161245,9,0.0,0.0,0.0,0.0,False,False,False,False,0.13740255888919778
2021-01-09 10:00:00,1.1981117971629793,1.1985103497783989,1.1976918113645234,1.1984021894261636,4065.3918553242233,1.1989019385702415,1.1985538472860737,1.1978702387799178,1.198022808955283,1.1970269772182973,1.1974879009496928,32.889824105634034,0.0011975891269955241,10,0.0,0.0,0.0,0.0,False,False,False,False,0.18832922210043412
2021-01-09 11:00:00,1.1984021894261636,1.1994625912991608,1.1982491936394855,1.1989537150477514,2475.1473595793736,1.1988903196759086,1.198591929930043,1.197943034218219,1.1980593150765562,1.1970190804475611,1.1975024861645989,43.94354927548243,0.00123505461397877,11,0.0,0.0,0.0,0.0,False,False,False,False,0.285051356757116
2021-01-09 12:00:00,1.1989537150477514,1.199955487003923,1.1984842882960924,1.1994906160737688,1663.1351449148956,1.1988929840224953,1.1986775190865882,1.1980240451400688,1.1981154445274274,1.197010010607314,1.1975222685517548,58.34679588931467,0.001174093832464521,12,0.0,0.0,0.0,0.0,False,False,False,False,0.37920874728100296
2021-01-09 13:00:00,1.1994906160737688,1.2004421963832086,1.1981208635678493,1.1988117813897903,3013.285036981551,1.1988667932045165,1.1986903059726073,1.1980883486435057,1.1981427518553631,1.196998081977084,1.1975350995252676,52.73145186974224,0.0012615988185817409,13,0.0,0.0,0.0,0.0,False,False,False,False,0.2601601715786133
2021-01-09 14:00:00,1.1988117813897903,1.199756616842811,1.1975535850621652,1.1983528688698328,3608.568246445545,1.1987993067481875,1.1986581691056764,1.198150417410724,1.1981509917382835,1.1969843941266465,1.1975432365336713,43.478209137631346,0.0013254556225193368,14,0.0,0.0,0.0,0.0,False,False,False,False,0.179679778984746
2021-01-09 15:00:00,1.1983528688698328,1.1993999951459797,1.1978595425930363,1.1986203865034373,1179.3068566139943,1.198732865232924,1.198654570762606,1.198198978785503,1.1981693993761326,1.1969680458323382,1.1975539544438183,45.178920181976494,0.001372060992072163,15,0.0,0.0,0.0,0.0,False,False,False,False,0.2265948733479687
2021-01-09 16:00:00,1.1986203865034373,1.1994893813090208,1.1984551486132269,1.1988872794788934,2166.487557469779,1.1986810890892499,1.1986767334974904,1.1982479396905819,1.1981975515370253,1.1969510634160843,1.1975672213595903,54.2615644605483,0.0013097228360373478,16,0.0,0.0,0.0,0.0,False,False,False,False,0.2734004201812651
